Mammals,,,,,
,,,,,
SNo,Common name,Scientific name,Home range,status,
75,Andrew's frigatebird,Fregata andrewsi,Australia,E,N
76,Coastal California gnatcatcher,Polioptila californica californica,North America,T,N
77,Hawaiian goose,Branta sandvicensis,North America,E,N
78,Christmas Island Goshawk,Accipiter fasciatus natalis,Australia,E,N
79,Slender-billed grackle,Quiscalus palustris,North America,E,N
80,Eyrean Grasswren (flycatcher),Amytornis goyderi,Australia,E,N
81,Alaotra grebe,Tachybaptus rufolavatus,Africa,E,N
82,Atitlan grebe,Podilymbus gigas,South America,E,N
83,Nordmann's Greenshank,Tringa guttifer,Asia,E,Y
84,Horned guan,Oreophasis derbianus,South America,E,N
85,White-winged Guan,Penelope albipennis,South America,E,N
86,White-breasted Guineafowl,Agelastes meleagrides,Africa,T,N
87,Audouin's gull,Larus audouinii,Europe,E,Y
88,Relict gull,Larus relictus,Asia,E,Y
89,Galapagos hawk,Buteo galapagoensis,South America,E,N
90,Hawaiian hawk ('lo),Buteo solitarius,North America,E,N
91,Puerto Rican broad-winged hawk,Buteo platypterus brunnescens,North America,E,N
92,Puerto Rican sharp-shinned hawk,Accipiter striatus venator,North America,E,Y
93,Hook-billed Hermit (hummingbird),Ramphodon (Glaucis) dohrnii,South America,E,N
94,Crested honeycreeper,Palmeria dolei,North America,E,N
95,Helmeted Honeyeater,Lichenostomus melanops cassidix (Meliphaga c.),Australia,E,N
